control,fold,accuracy,balanced_accuracy,precision,recall,f1
true_labels,0,0.9435051546391753,0.8575490196078431,0.7879858657243817,0.7433333333333333,0.7650085763293311
shuffled_labels,0,0.7612371134020619,0.5044901960784314,0.129973474801061,0.16333333333333333,0.1447562776957164
true_labels,1,0.937319587628866,0.8392281263666597,0.7653429602888087,0.7090301003344481,0.7361111111111112
shuffled_labels,1,0.7447422680412371,0.4937200514729248,0.11538461538461539,0.1605351170568562,0.13426573426573427
true_labels,2,0.9443298969072165,0.8518485890566547,0.8014705882352942,0.7290969899665551,0.7635726795096323
shuffled_labels,2,0.725360824742268,0.47835525756913133,0.09846827133479212,0.1505016722408027,0.11904761904761904
true_labels,3,0.9410309278350516,0.8298483184777103,0.8095238095238095,0.6822742474916388,0.7404718693284936
shuffled_labels,3,0.7377319587628866,0.48397370350210955,0.10352941176470588,0.14715719063545152,0.12154696132596685
true_labels,4,0.9369072164948453,0.8318076561256241,0.7723880597014925,0.6923076923076923,0.7301587301587301
shuffled_labels,4,0.7657731958762887,0.5042773497107007,0.12947658402203857,0.15719063545150502,0.1419939577039275
true_labels,5,0.9385567010309278,0.8361176470588235,0.7806691449814126,0.7,0.7381370826010545
shuffled_labels,5,0.7682474226804124,0.5285294117647059,0.16237113402061856,0.21,0.18313953488372092
true_labels,6,0.937319587628866,0.8334798969282997,0.7732342007434945,0.6956521739130435,0.7323943661971831
shuffled_labels,6,0.7327835051546392,0.4581585844316426,0.0691358024691358,0.09364548494983277,0.07954545454545454
true_labels,7,0.9410309278350516,0.8557153509503299,0.7708333333333334,0.7424749163879598,0.7563884156729132
shuffled_labels,7,0.7410309278350515,0.48441811368720444,0.10361445783132531,0.14381270903010032,0.12044817927170869
true_labels,8,0.9360824742268041,0.8399596333969928,0.7553191489361702,0.7123745819397993,0.7332185886402753
shuffled_labels,8,0.7356701030927835,0.4741754421291417,0.09090909090909091,0.12709030100334448,0.10599721059972106
true_labels,9,0.9439175257731959,0.8415540040964393,0.8146718146718147,0.705685618729097,0.7562724014336918
shuffled_labels,9,0.7476288659793815,0.4795587046190343,0.09560723514211886,0.12374581939799331,0.10787172011661808
true_labels,10,0.9455670103092784,0.8472745098039216,0.8206106870229007,0.7166666666666667,0.7651245551601423
shuffled_labels,10,0.7331958762886598,0.48849019607843136,0.1101123595505618,0.16333333333333333,0.13154362416107382
true_labels,11,0.9397938144329897,0.8348909975868133,0.7908745247148289,0.6956521739130435,0.7402135231316725
shuffled_labels,11,0.7385567010309279,0.4786958409499209,0.0963855421686747,0.13377926421404682,0.11204481792717087
true_labels,12,0.9402061855670103,0.839437353108669,0.7873134328358209,0.705685618729097,0.7442680776014109
shuffled_labels,12,0.7641237113402062,0.5162701321746681,0.14545454545454545,0.18729096989966554,0.16374269005847952
true_labels,13,0.9369072164948453,0.8346817708448041,0.7683823529411765,0.6989966555183946,0.7320490367775832
shuffled_labels,13,0.7303092783505155,0.48405157360533857,0.10467706013363029,0.15719063545150502,0.12566844919786097
true_labels,14,0.934020618556701,0.821539027866485,0.7642585551330798,0.6722408026755853,0.7153024911032029
shuffled_labels,14,0.7484536082474227,0.514518448135365,0.14087759815242495,0.2040133779264214,0.16666666666666666
