algorithm,trial,plaintext_bytes,ciphertext_bytes,encryption_s,decryption_s,roundtrip_s,exact_plaintext_recovery
S-DES,0,105,105,0.0014032120816409588,0.001302483957260847,0.002705696038901806,True
S-DES,1,105,105,0.0012744669802486897,0.0013469790574163198,0.0026214460376650095,True
S-DES,2,105,105,0.0013252990320324898,0.001273163128644228,0.0025984621606767178,True
S-DES,3,105,105,0.001272343099117279,0.0012714308686554432,0.0025437739677727222,True
S-DES,4,105,105,0.001268669031560421,0.0012704739347100258,0.0025391429662704468,True
S-DES,5,105,105,0.001286091050133109,0.00131182000041008,0.002597911050543189,True
S-DES,6,105,105,0.001275010872632265,0.0012762078549712896,0.0025512187276035547,True
S-DES,7,105,105,0.001280324999243021,0.0012825229205191135,0.0025628479197621346,True
S-DES,8,105,105,0.0012726469431072474,0.0012803899589926004,0.002553036902099848,True
S-DES,9,105,105,0.0013087198603898287,0.0013316490221768618,0.0026403688825666904,True
DES,0,105,120,0.0001240160781890154,2.776295877993107e-05,0.00015177903696894646,True
DES,1,105,120,8.374289609491825e-05,2.7036061510443687e-05,0.00011077895760536194,True
DES,2,105,120,7.775891572237015e-05,1.9903061911463737e-05,9.766197763383389e-05,True
DES,3,105,120,7.380405440926552e-05,1.9141938537359238e-05,9.294599294662476e-05,True
DES,4,105,120,7.075699977576733e-05,1.863599754869938e-05,8.93929973244667e-05,True
DES,5,105,120,6.989995017647743e-05,1.839594915509224e-05,8.829589933156967e-05,True
DES,6,105,120,6.929691880941391e-05,1.8459977582097054e-05,8.775689639151096e-05,True
DES,7,105,120,6.80331140756607e-05,1.8429942429065704e-05,8.646305650472641e-05,True
DES,8,105,120,6.74067996442318e-05,1.826300285756588e-05,8.566980250179768e-05,True
DES,9,105,120,6.803101859986782e-05,1.7935875803232193e-05,8.596689440310001e-05,True
AES,0,105,128,6.964802742004395e-05,1.671607606112957e-05,8.636410348117352e-05,True
AES,1,105,128,6.480095908045769e-05,1.4981953427195549e-05,7.978291250765324e-05,True
AES,2,105,128,6.314506754279137e-05,1.4974037185311317e-05,7.811910472810268e-05,True
AES,3,105,128,6.949296221137047e-05,1.4550052583217621e-05,8.404301479458809e-05,True
AES,4,105,128,6.326311267912388e-05,1.4638062566518784e-05,7.790117524564266e-05,True
AES,5,105,128,6.201514042913914e-05,1.4524906873703003e-05,7.654004730284214e-05,True
AES,6,105,128,6.176112219691277e-05,1.5200115740299225e-05,7.696123793721199e-05,True
AES,7,105,128,6.156810559332371e-05,1.430395059287548e-05,7.587205618619919e-05,True
AES,8,105,128,6.156903691589832e-05,1.4652032405138016e-05,7.622106932103634e-05,True
AES,9,105,128,6.297300569713116e-05,1.4516059309244156e-05,7.748906500637531e-05,True
ChaCha20,0,105,117,6.0578109696507454e-05,9.584939107298851e-06,7.01630488038063e-05,True
ChaCha20,1,105,117,5.4904958233237267e-05,8.299946784973145e-06,6.320490501821041e-05,True
ChaCha20,2,105,117,5.3283991292119026e-05,8.203089237213135e-06,6.148708052933216e-05,True
ChaCha20,3,105,117,5.3856056183576584e-05,8.13300721347332e-06,6.19890633970499e-05,True
ChaCha20,4,105,117,5.3541967645287514e-05,7.817056030035019e-06,6.135902367532253e-05,True
ChaCha20,5,105,117,5.314592272043228e-05,8.37305560708046e-06,6.151897832751274e-05,True
ChaCha20,6,105,117,5.4653966799378395e-05,8.442206308245659e-06,6.309617310762405e-05,True
ChaCha20,7,105,117,5.916692316532135e-05,7.99098052084446e-06,6.715790368616581e-05,True
ChaCha20,8,105,117,5.267886444926262e-05,7.666880264878273e-06,6.034574471414089e-05,True
ChaCha20,9,105,117,5.347304977476597e-05,7.79307447373867e-06,6.126612424850464e-05,True
RSA,0,105,256,0.0005603041499853134,0.0012907430063933134,0.0018510471563786268,True
RSA,1,105,256,0.0005487969610840082,0.0012847920879721642,0.0018335890490561724,True
RSA,2,105,256,0.0005517860408872366,0.001273582223802805,0.0018253682646900415,True
RSA,3,105,256,0.0005588270723819733,0.0012998240999877453,0.0018586511723697186,True
RSA,4,105,256,0.0005556140094995499,0.001275516115128994,0.0018311301246285439,True
RSA,5,105,256,0.0005489718168973923,0.0012898819986730814,0.0018388538155704737,True
RSA,6,105,256,0.0005537120159715414,0.0013469329569488764,0.0019006449729204178,True
RSA,7,105,256,0.0005533210933208466,0.001273738918825984,0.0018270600121468306,True
RSA,8,105,256,0.0005548829212784767,0.001346830977126956,0.0019017138984054327,True
RSA,9,105,256,0.000581496162340045,0.0013283139560371637,0.0019098101183772087,True
ECIES,0,105,198,0.0017528990283608437,0.001191047951579094,0.0029439469799399376,True
ECIES,1,105,198,0.0017310010734945536,0.0011873920448124409,0.0029183931183069944,True
ECIES,2,105,198,0.0017160088755190372,0.0011792301665991545,0.0028952390421181917,True
ECIES,3,105,198,0.001749522052705288,0.0011769209522753954,0.0029264430049806833,True
ECIES,4,105,198,0.0017299989704042673,0.001187474001199007,0.0029174729716032743,True
ECIES,5,105,198,0.0017225239425897598,0.0012180579360574484,0.002940581878647208,True
ECIES,6,105,198,0.00174883590079844,0.0011728850658982992,0.002921720966696739,True
ECIES,7,105,198,0.0017236049752682447,0.001204425934702158,0.0029280309099704027,True
ECIES,8,105,198,0.0017035850323736668,0.0011787069961428642,0.002882292028516531,True
ECIES,9,105,198,0.0017695538699626923,0.0012400751002132893,0.0030096289701759815,True
