candidate_id,replicate,noise_type,noise_rate_hz,condition_weight,ber,tie_fraction,byte_accuracy,exact_recovery,generation,candidate_index
g00_c00,0,none,0.0,0.75,0.15625,0.35625,0.30000000000000004,False,0,0
g00_c00,0,poisson_excitatory,10.0,0.25,0.2375,0.46875,0.15000000000000002,False,0,0
g00_c00,1,none,0.0,0.75,0.15625,0.35625,0.30000000000000004,False,0,0
g00_c00,1,poisson_excitatory,10.0,0.25,0.1875,0.4125,0.19999999999999996,False,0,0
g00_c01,0,none,0.0,0.75,0.24375,0.2,0.30000000000000004,False,0,1
g00_c01,0,poisson_excitatory,10.0,0.25,0.24375,0.20625,0.25,False,0,1
g00_c01,1,none,0.0,0.75,0.24375,0.2,0.30000000000000004,False,0,1
g00_c01,1,poisson_excitatory,10.0,0.25,0.24375,0.19375,0.19999999999999996,False,0,1
g00_c02,0,none,0.0,0.75,0.00625,0.00625,0.95,False,0,2
g00_c02,0,poisson_excitatory,10.0,0.25,0.00625,0.00625,0.95,False,0,2
g00_c02,1,none,0.0,0.75,0.00625,0.00625,0.95,False,0,2
g00_c02,1,poisson_excitatory,10.0,0.25,0.00625,0.00625,0.95,False,0,2
g00_c03,0,none,0.0,0.75,0.0125,0.0125,0.9,False,0,3
g00_c03,0,poisson_excitatory,10.0,0.25,0.0125,0.0125,0.9,False,0,3
g00_c03,1,none,0.0,0.75,0.0125,0.0125,0.9,False,0,3
g00_c03,1,poisson_excitatory,10.0,0.25,0.00625,0.00625,0.95,False,0,3
g00_c04,0,none,0.0,0.75,0.18125,0.1125,0.25,False,0,4
g00_c04,0,poisson_excitatory,10.0,0.25,0.19375,0.125,0.15000000000000002,False,0,4
g00_c04,1,none,0.0,0.75,0.18125,0.1125,0.25,False,0,4
g00_c04,1,poisson_excitatory,10.0,0.25,0.16875,0.09375,0.35,False,0,4
g00_c05,0,none,0.0,0.75,0.23125,0.26875,0.15000000000000002,False,0,5
g00_c05,0,poisson_excitatory,10.0,0.25,0.23125,0.26875,0.15000000000000002,False,0,5
g00_c05,1,none,0.0,0.75,0.23125,0.26875,0.15000000000000002,False,0,5
g00_c05,1,poisson_excitatory,10.0,0.25,0.23125,0.26875,0.15000000000000002,False,0,5
g00_c06,0,none,0.0,0.75,0.1375,0.23125,0.4,False,0,6
g00_c06,0,poisson_excitatory,10.0,0.25,0.125,0.18125,0.4,False,0,6
g00_c06,1,none,0.0,0.75,0.1375,0.23125,0.4,False,0,6
g00_c06,1,poisson_excitatory,10.0,0.25,0.1,0.19375,0.5,False,0,6
g00_c07,0,none,0.0,0.75,0.00625,0.0,0.95,False,0,7
g00_c07,0,poisson_excitatory,10.0,0.25,0.00625,0.0,0.95,False,0,7
g00_c07,1,none,0.0,0.75,0.00625,0.0,0.95,False,0,7
g00_c07,1,poisson_excitatory,10.0,0.25,0.00625,0.0,0.95,False,0,7
