algorithm,noise_type,n_complete_units,rates_hz,friedman_statistic,p_value
S-DES,poisson_excitatory,24,"0,5,10,25,50,100",116.2590361445783,1.944409336345599e-23
S-DES,poisson_inhibitory,24,"0,5,10,25,50,100",103.44512195121943,9.921879589153702e-21
S-DES,poisson_mixed,24,"0,5,10,25,50,100",100.45285359801483,4.2423506077499534e-20
DES,poisson_excitatory,24,"0,5,10,25,50,100",112.08182912154022,1.487419029115548e-22
DES,poisson_inhibitory,24,"0,5,10,25,50,100",112.3823884197828,1.2849359440818872e-22
DES,poisson_mixed,24,"0,5,10,25,50,100",96.28063725490199,3.2100589745428196e-19
AES,poisson_excitatory,24,"0,5,10,25,50,100",99.67509025270749,6.187745278051898e-20
AES,poisson_inhibitory,24,"0,5,10,25,50,100",89.98181818181818,6.778673072987778e-18
AES,poisson_mixed,24,"0,5,10,25,50,100",68.80894800483672,1.8130364995813825e-13
ChaCha20,poisson_excitatory,24,"0,5,10,25,50,100",106.04819277108427,2.8004515453238868e-21
ChaCha20,poisson_inhibitory,24,"0,5,10,25,50,100",94.76277372262766,6.6984684853980375e-19
ChaCha20,poisson_mixed,24,"0,5,10,25,50,100",73.44471445929518,1.9636242876728076e-14
RSA,poisson_excitatory,24,"0,5,10,25,50,100",112.96518607442977,9.674730021467599e-23
RSA,poisson_inhibitory,24,"0,5,10,25,50,100",110.16148325358846,3.787684145559221e-22
RSA,poisson_mixed,24,"0,5,10,25,50,100",108.27130852340933,9.50057596313146e-22
ECIES,poisson_excitatory,24,"0,5,10,25,50,100",118.79022646007151,5.66162342020878e-24
ECIES,poisson_inhibitory,24,"0,5,10,25,50,100",116.80838323353288,1.4877062695487864e-23
ECIES,poisson_mixed,24,"0,5,10,25,50,100",117.77844311377247,9.271884116905617e-24
