algorithm,experiment,condition,trial,rail,bit_index,bit_value,victor_purpura,van_rossum,l1_spike_count,l3_spike_count,unit_id,model_trial,payload_id,noise_replicate,noise_seed,noise_type,noise_rate_hz
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,92.81999999999984,7.194600193488145,138,155,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,50.890000000000065,5.254449383070832,72,74,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,47.46999999999998,5.010358528731507,68,69,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,93.75999999999982,7.192049280761294,142,158,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,62.629999999999896,5.870915326418905,88,93,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,83.81999999999985,6.78758046234762,122,135,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,96.96999999999997,7.319792866815065,146,163,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,46.680000000000014,4.99443400194067,64,65,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,42.269999999999904,4.805710724362274,58,60,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,103.51999999999992,7.618488367736555,152,178,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,90.91999999999986,7.047437038170136,138,152,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,50.229999999999905,5.183482409425821,72,73,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,56.08999999999992,5.408872071425504,82,83,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,83.84,6.701841376477902,128,138,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,99.91999999999999,7.45691141754685,148,172,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,43.36000000000003,4.816156519866586,62,63,S-DES|m0|p0|r0,0,0,0,190784071,none,0.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,91.89999999999986,7.165462559778026,138,155,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,50.6499999999999,5.2448408667698105,72,74,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,47.19000000000002,4.99837165757399,68,69,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,93.24999999999989,7.180458419729329,142,158,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,62.57000000000001,5.851991351983799,88,94,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,85.2399999999999,6.895195434848102,122,137,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,96.1400000000001,7.302507143224723,146,163,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,46.42000000000001,4.98525547372809,64,65,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,41.929999999999914,4.789755808467954,58,60,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,105.53000000000006,7.732481190879349,152,180,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,91.82999999999986,7.128556811021499,138,154,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,50.88999999999988,5.246815883363914,72,74,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,55.52000000000004,5.386818418067689,82,83,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,84.26000000000002,6.736685979271477,128,139,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,99.68000000000002,7.464848538203671,148,172,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,42.999999999999865,4.802764933614524,62,63,S-DES|m0|p0|r0,0,0,0,278877910,poisson_excitatory,5.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,93.39999999999995,7.2587219935004965,138,157,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,51.259999999999835,5.303926610907666,72,75,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,47.029999999999966,4.989492658919304,68,69,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,97.10999999999987,7.4012007055540225,142,164,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,61.71000000000003,5.808716190968388,88,94,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,84.13999999999987,6.813030416830724,122,137,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,99.20000000000003,7.484347313508705,146,167,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,46.63999999999999,5.038580416160666,64,66,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,41.81999999999987,4.788111720434434,58,60,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,105.36000000000007,7.736544548720044,152,180,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,91.24999999999997,7.112145828502461,138,154,S-DES|m0|p0|r0,0,0,0,1714456944,poisson_excitatory,10.0
