algorithm,experiment,condition,trial,rail,bit_index,bit_value,victor_purpura,van_rossum,l1_spike_count,l3_spike_count,noise_seed,noise_type,noise_rate_hz
S-DES,teaching_ablation,es_stdp_teacher_off,0,0,0,0,82.71000000000001,6.8280008502586185,118,133,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,1,0,1,60.64000000000003,5.741958387589525,92,94,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,2,1,0,52.76000000000001,5.311066628002886,78,80,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,3,1,1,92.67999999999986,7.259276903186036,132,152,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,4,2,0,58.21000000000004,5.659884762751365,82,87,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,5,2,1,89.40999999999993,7.089211553100253,128,146,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,6,3,0,92.85000000000024,7.204785256557398,134,152,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,7,3,1,54.29999999999998,5.391195403783552,76,77,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,8,4,0,39.70999999999991,4.655174080885311,56,58,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,9,4,1,104.96999999999998,7.660486056315919,154,181,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,10,5,0,100.13000000000001,7.548318190549114,144,164,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,11,5,1,49.359999999999964,5.172948365174113,66,67,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,12,6,0,60.180000000000135,5.641719750017812,86,89,1148395644,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,0,13,6,1,83.13,6.702917281037882,124,134,1148395644,poisson_excitatory,10.0
