algorithm,trial,plaintext_bytes,ciphertext_bytes,encryption_s,encoding_s,network_build_s,snn_simulation_s,spike_readout_s,decoding_s,decryption_s,online_total_without_build_s,online_total_with_build_s,peak_process_rss_mb,decoder_tie_fraction,decryption_success,exact_plaintext_recovery
S-DES,0,105,105,0.0013353489339351654,0.00014499411918222904,0.07042756397277117,0.5388497710227966,0.00011037196964025497,0.012495616218075156,0.001410038908943534,0.554346141172573,0.6247737051453441,587.890625,0.008333333333333333,True,False
S-DES,1,105,105,0.001287038903683424,0.0001757279969751835,0.06405722699128091,0.5379246959928423,8.118408732116222e-05,0.012833039043471217,0.0014490960165858269,0.5537507820408791,0.61780800903216,587.890625,0.008333333333333333,True,False
S-DES,2,105,105,0.0013176209758967161,0.00015866896137595177,0.06448715995065868,0.5387624418362975,7.90078192949295e-05,0.012284828117117286,0.0013340450823307037,0.5539366127923131,0.6184237727429718,587.890625,0.008333333333333333,True,False
S-DES,3,105,105,0.0012548109516501427,0.0002717049792408943,0.06471854005940259,0.5410363001283258,8.106487803161144e-05,0.012062170077115297,0.0013423580676317215,0.5560484090819955,0.6207669491413981,587.890625,0.008333333333333333,True,False
S-DES,4,105,105,0.0013001440092921257,0.00016663013957440853,0.06437819311395288,0.543453625170514,8.010305464267731e-05,0.012853853171691298,0.0014478389639407396,0.5593021945096552,0.6236803876236081,587.890625,0.008333333333333333,True,False
S-DES,5,105,105,0.0012760348618030548,0.0001756511628627777,0.0647081839852035,0.5365994770545512,7.866392843425274e-05,0.012030609883368015,0.0013459110632538795,0.5515063479542732,0.6162145319394767,587.890625,0.008333333333333333,True,False
S-DES,6,105,105,0.0012826290912926197,0.00016699684783816338,0.06485105608589947,0.5414682219270617,8.042505942285061e-05,0.01223557093180716,0.0013370080851018429,0.5565708519425243,0.6214219080284238,587.890625,0.008333333333333333,True,False
S-DES,7,105,105,0.0012805929873138666,0.00014888099394738674,0.06488877814263105,0.5384791060350835,7.927906699478626e-05,0.012447348097339272,0.0013787969946861267,0.553814004175365,0.618702782317996,587.890625,0.008333333333333333,True,False
S-DES,8,105,105,0.0012709330767393112,0.00016833399422466755,0.06523994985036552,0.5380554380826652,8.062482811510563e-05,0.012345679104328156,0.0013332231901586056,0.553254232276231,0.6184941821265966,587.890625,0.008333333333333333,True,False
S-DES,9,105,105,0.0012953788973391056,0.00017571798525750637,0.06494348589330912,0.5484676130581647,0.00010359892621636391,0.013125136960297823,0.0018571598920971155,0.5650246057193726,0.6299680916126817,587.890625,0.008333333333333333,True,False
DES,0,105,120,0.00026359804905951023,0.00019902200438082218,0.06560470699332654,0.6190307920332998,8.13209917396307e-05,0.01407149201259017,0.00010248390026390553,0.6337487089913338,0.6993534159846604,587.890625,0.015625,False,False
DES,1,105,120,0.00015176599845290184,0.0001645791344344616,0.06507320306263864,0.6339031429961324,8.233101107180119e-05,0.014468478038907051,7.262988947331905e-05,0.6488429270684719,0.7139161301311105,587.890625,0.03333333333333333,False,False
DES,2,105,120,0.0001745519693940878,0.00021631596609950066,0.06453106901608407,0.6115426400210708,8.049397729337215e-05,0.014463516883552074,7.113884203135967e-05,0.6265486576594412,0.6910797266755253,587.890625,0.030208333333333334,True,False
DES,3,105,120,0.00017235800623893738,0.00018823891878128052,0.06421580794267356,0.6152968320529908,0.00010056816972792149,0.014463119907304645,7.45849683880806e-05,0.6302957020234317,0.6945115099661052,587.890625,0.023958333333333335,False,False
