algorithm,trial,training_condition,parameter_source,teacher_weight,epoch,bit_index,bit_value,rail,hidden_neuron,weight
S-DES,0,default_no_teacher_stdp,default,0.0,0,0,0,0,0,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,0,0,0,1,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,0,1,1,2,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,0,1,1,3,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,1,0,2,4,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,1,0,2,5,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,1,1,3,6,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,1,1,3,7,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,2,0,4,8,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,2,0,4,9,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,2,1,5,10,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,2,1,5,11,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,3,0,6,12,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,3,0,6,13,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,3,1,7,14,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,3,1,7,15,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,4,0,8,16,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,4,0,8,17,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,4,1,9,18,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,4,1,9,19,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,5,0,10,20,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,5,0,10,21,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,5,1,11,22,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,5,1,11,23,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,6,0,12,24,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,6,0,12,25,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,6,1,13,26,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,6,1,13,27,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,7,0,14,28,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,7,0,14,29,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,7,1,15,30,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,0,7,1,15,31,650.0
S-DES,0,default_no_teacher_stdp,default,0.0,1,0,0,0,0,658.362679886518
S-DES,0,default_no_teacher_stdp,default,0.0,1,0,0,0,1,658.362679886518
S-DES,0,default_no_teacher_stdp,default,0.0,1,0,1,1,2,651.0210142032934
S-DES,0,default_no_teacher_stdp,default,0.0,1,0,1,1,3,651.0210142032934
S-DES,0,default_no_teacher_stdp,default,0.0,1,1,0,2,4,651.3540713281346
S-DES,0,default_no_teacher_stdp,default,0.0,1,1,0,2,5,651.3540713281346
S-DES,0,default_no_teacher_stdp,default,0.0,1,1,1,3,6,657.8736263460963
S-DES,0,default_no_teacher_stdp,default,0.0,1,1,1,3,7,657.8736263460963
S-DES,0,default_no_teacher_stdp,default,0.0,1,2,0,4,8,653.152884887387
S-DES,0,default_no_teacher_stdp,default,0.0,1,2,0,4,9,653.152884887387
S-DES,0,default_no_teacher_stdp,default,0.0,1,2,1,5,10,656.682967417477
S-DES,0,default_no_teacher_stdp,default,0.0,1,2,1,5,11,656.682967417477
S-DES,0,default_no_teacher_stdp,default,0.0,1,3,0,6,12,658.0052176781217
S-DES,0,default_no_teacher_stdp,default,0.0,1,3,0,6,13,658.0052176781217
S-DES,0,default_no_teacher_stdp,default,0.0,1,3,1,7,14,651.550658310005
S-DES,0,default_no_teacher_stdp,default,0.0,1,3,1,7,15,651.550658310005
S-DES,0,default_no_teacher_stdp,default,0.0,1,4,0,8,16,651.5696662124875
S-DES,0,default_no_teacher_stdp,default,0.0,1,4,0,8,17,651.5696662124875
S-DES,0,default_no_teacher_stdp,default,0.0,1,4,1,9,18,660.3481628361855
S-DES,0,default_no_teacher_stdp,default,0.0,1,4,1,9,19,660.3481628361855
S-DES,0,default_no_teacher_stdp,default,0.0,1,5,0,10,20,657.231573704753
S-DES,0,default_no_teacher_stdp,default,0.0,1,5,0,10,21,657.231573704753
S-DES,0,default_no_teacher_stdp,default,0.0,1,5,1,11,22,651.6856661888821
S-DES,0,default_no_teacher_stdp,default,0.0,1,5,1,11,23,651.6856661888821
S-DES,0,default_no_teacher_stdp,default,0.0,1,6,0,12,24,652.0935206993776
S-DES,0,default_no_teacher_stdp,default,0.0,1,6,0,12,25,652.0935206993776
S-DES,0,default_no_teacher_stdp,default,0.0,1,6,1,13,26,656.430039799899
S-DES,0,default_no_teacher_stdp,default,0.0,1,6,1,13,27,656.430039799899
S-DES,0,default_no_teacher_stdp,default,0.0,1,7,0,14,28,660.0536446817823
S-DES,0,default_no_teacher_stdp,default,0.0,1,7,0,14,29,660.0536446817823
S-DES,0,default_no_teacher_stdp,default,0.0,1,7,1,15,30,651.3750896112439
S-DES,0,default_no_teacher_stdp,default,0.0,1,7,1,15,31,651.3750896112439
S-DES,0,default_no_teacher_stdp,default,0.0,2,0,0,0,0,666.6659844044191
S-DES,0,default_no_teacher_stdp,default,0.0,2,0,0,0,1,666.6659844044191
S-DES,0,default_no_teacher_stdp,default,0.0,2,0,1,1,2,652.2086521389614
S-DES,0,default_no_teacher_stdp,default,0.0,2,0,1,1,3,652.2086521389614
S-DES,0,default_no_teacher_stdp,default,0.0,2,1,0,2,4,652.8556922857133
S-DES,0,default_no_teacher_stdp,default,0.0,2,1,0,2,5,652.8556922857133
S-DES,0,default_no_teacher_stdp,default,0.0,2,1,1,3,6,665.8740034179739
S-DES,0,default_no_teacher_stdp,default,0.0,2,1,1,3,7,665.8740034179739
S-DES,0,default_no_teacher_stdp,default,0.0,2,2,0,4,8,657.0723216563595
S-DES,0,default_no_teacher_stdp,default,0.0,2,2,0,4,9,657.0723216563595
S-DES,0,default_no_teacher_stdp,default,0.0,2,2,1,5,10,663.1196888813157
S-DES,0,default_no_teacher_stdp,default,0.0,2,2,1,5,11,663.1196888813157
S-DES,0,default_no_teacher_stdp,default,0.0,2,3,0,6,12,665.9503916798526
S-DES,0,default_no_teacher_stdp,default,0.0,2,3,0,6,13,665.9503916798526
S-DES,0,default_no_teacher_stdp,default,0.0,2,3,1,7,14,653.1817673415902
S-DES,0,default_no_teacher_stdp,default,0.0,2,3,1,7,15,653.1817673415902
S-DES,0,default_no_teacher_stdp,default,0.0,2,4,0,8,16,653.404690443772
S-DES,0,default_no_teacher_stdp,default,0.0,2,4,0,8,17,653.404690443772
S-DES,0,default_no_teacher_stdp,default,0.0,2,4,1,9,18,670.8815979870824
S-DES,0,default_no_teacher_stdp,default,0.0,2,4,1,9,19,670.8815979870824
S-DES,0,default_no_teacher_stdp,default,0.0,2,5,0,10,20,664.549474551688
