algorithm,teacher_weight,n_trials,ber_mean,ber_std,ber_median,ber_q25,ber_q75,ber_ci95_low,ber_ci95_high,bit_errors_mean,bit_errors_std,bit_errors_median,bit_errors_q25,bit_errors_q75,bit_errors_ci95_low,bit_errors_ci95_high,ciphertext_byte_accuracy_mean,ciphertext_byte_accuracy_std,ciphertext_byte_accuracy_median,ciphertext_byte_accuracy_q25,ciphertext_byte_accuracy_q75,ciphertext_byte_accuracy_ci95_low,ciphertext_byte_accuracy_ci95_high,exact_ciphertext_recovery_mean,exact_ciphertext_recovery_std,exact_ciphertext_recovery_median,exact_ciphertext_recovery_q25,exact_ciphertext_recovery_q75,exact_ciphertext_recovery_ci95_low,exact_ciphertext_recovery_ci95_high,exact_ciphertext_recovery_wilson95_low,exact_ciphertext_recovery_wilson95_high,decryption_success_mean,decryption_success_std,decryption_success_median,decryption_success_q25,decryption_success_q75,decryption_success_ci95_low,decryption_success_ci95_high,decryption_success_wilson95_low,decryption_success_wilson95_high,exact_plaintext_recovery_mean,exact_plaintext_recovery_std,exact_plaintext_recovery_median,exact_plaintext_recovery_q25,exact_plaintext_recovery_q75,exact_plaintext_recovery_ci95_low,exact_plaintext_recovery_ci95_high,exact_plaintext_recovery_wilson95_low,exact_plaintext_recovery_wilson95_high,decoder_tie_fraction_mean,decoder_tie_fraction_std,decoder_tie_fraction_median,decoder_tie_fraction_q25,decoder_tie_fraction_q75,decoder_tie_fraction_ci95_low,decoder_tie_fraction_ci95_high,victor_purpura_mean_mean,victor_purpura_mean_std,victor_purpura_mean_median,victor_purpura_mean_q25,victor_purpura_mean_q75,victor_purpura_mean_ci95_low,victor_purpura_mean_ci95_high,van_rossum_mean_mean,van_rossum_mean_std,van_rossum_mean_median,van_rossum_mean_q25,van_rossum_mean_q75,van_rossum_mean_ci95_low,van_rossum_mean_ci95_high,simulation_wall_s_mean,simulation_wall_s_std,simulation_wall_s_median,simulation_wall_s_q25,simulation_wall_s_q75,simulation_wall_s_ci95_low,simulation_wall_s_ci95_high,plaintext_byte_accuracy_mean,plaintext_byte_accuracy_std,plaintext_byte_accuracy_median,plaintext_byte_accuracy_q25,plaintext_byte_accuracy_q75,plaintext_byte_accuracy_ci95_low,plaintext_byte_accuracy_ci95_high
AES,0.0,10,0.0177734375,0.0011086840081983333,0.0185546875,0.016845703125,0.0185546875,0.01708984375,0.018359375,18.2,1.1352924243950933,19.0,17.25,19.0,17.5,18.8,0.86328125,0.015296015787071264,0.859375,0.8515625,0.865234375,0.8546875,0.87265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.03583984375,0.0015302941762425988,0.0361328125,0.0361328125,0.036865234375,0.03486328125,0.03662109375,88.60643750000004,0.17567455558265627,88.63718750000004,88.47187500000004,88.74703125000005,88.50152656250005,88.70231406250005,6.936277460876117,0.012738485553227775,6.937338394437132,6.928078456473537,6.941492345743933,6.928873882099406,6.943905431504924,0.6522873015841469,0.005131731042093343,0.6532604194944724,0.6478942147223279,0.6544283891562372,0.649259176881751,0.6552262941328808,,,,,,,
AES,300.0,10,0.0111328125,0.0022646519701726674,0.01171875,0.0107421875,0.0126953125,0.009765625,0.01240234375,11.4,2.3190036174568114,12.0,11.0,13.0,9.9,12.7,0.91484375,0.016242152218242368,0.9140625,0.900390625,0.919921875,0.90546875,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.2,0.42163702135578396,0.0,0.0,0.0,0.0,0.5,0.05668215145437519,0.5098375284633583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.023828125,0.0026122920114243333,0.02392578125,0.022705078125,0.02587890625,0.022265625,0.025295410156249986,89.91550000000004,0.23281150726858127,89.88125000000005,89.84890625000006,90.08515625000004,89.78105468750005,90.04575468750005,7.034689246645892,0.015097185804346666,7.035970329334296,7.026951382954387,7.042814994322953,7.025443338726689,7.043279224683254,0.6522020705742761,0.005075832284357921,0.6509720284957439,0.6486193336895667,0.65634708001744,0.6493486449838383,0.6554516989254626,0.41904761904761906,0.12121830534626525,0.41904761904761906,0.3761904761904762,0.46190476190476193,0.33333333333333337,0.5047619047619047
AES,600.0,10,0.05712890625,0.002847144479904932,0.05712890625,0.054931640625,0.058349609375,0.05546875,0.05888671875,58.5,2.9154759474226504,58.5,56.25,59.75,56.9,60.3,0.6015625,0.01948779888944761,0.60546875,0.595703125,0.609375,0.58984375,0.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.11044921875,0.0038639747983656046,0.1103515625,0.108642578125,0.11181640625,0.108203125,0.11279541015624998,97.168,0.2729355591425119,97.14125000000003,97.00406250000002,97.21328125,97.01824218750001,97.33133749999999,7.415961903233759,0.01684069822277886,7.411435851063112,7.403123797755635,7.4257041241198944,7.406702290560354,7.4267688059700285,0.6560395484557375,0.004567005597379597,0.6562022959114984,0.6526434759725817,0.6596290017478168,0.6533007922727848,0.6587166299589444,,,,,,,
AES,900.0,10,0.0546875,0.0026445437515091015,0.05419921875,0.052978515625,0.0556640625,0.05322265625,0.05634765625,56.0,2.70801280154532,55.5,54.25,57.0,54.5,57.8,0.596875,0.014358384116760648,0.59765625,0.5859375,0.609375,0.5890625,0.60546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.10625,0.0042142063366360045,0.1064453125,0.103515625,0.108154296875,0.10380859375,0.10869140625,99.19474999999998,0.26798797003472,99.3278125,99.07750000000001,99.3646875,99.0351203125,99.34522031249998,7.545481645583623,0.01606355724743599,7.550256911935316,7.541271832397237,7.554436453554693,7.535986503043826,7.554143958289063,0.6525323563022539,0.007482855213900214,0.6514878629241139,0.6487306337221526,0.6565669163828716,0.6482656716648489,0.6569714938459219,,,,,,,
AES,1200.0,10,0.04150390625,0.0024468255824174655,0.04150390625,0.040283203125,0.043701171875,0.03994140625,0.04287109375,42.5,2.5055493963954847,42.5,41.25,44.75,40.9,43.8,0.68046875,0.01821055597609072,0.6796875,0.671875,0.6796875,0.6703125,0.69140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0794921875,0.004444283376530211,0.08056640625,0.0751953125,0.082763671875,0.07685546875,0.08212890625,99.31056249999997,0.20670959945523387,99.29124999999996,99.18453124999999,99.43343749999998,99.18580937499998,99.42994218749999,7.566142694770624,0.013284844803046801,7.563909532756012,7.557501358603156,7.572688500023332,7.559047192262667,7.574126837677799,0.6529322766233235,0.005418205882577751,0.6523316759848967,0.6484541236422956,0.6571571645326912,0.6497947765979916,0.6560691244940972,,,,,,,
ChaCha20,0.0,10,0.02126068376068376,0.002998651628920353,0.021367521367521368,0.018963675213675216,0.023237179487179488,0.019444444444444445,0.023076923076923075,19.9,2.806737924669451,20.0,17.75,21.75,18.2,21.5,0.8435897435897435,0.02056419650440866,0.8418803418803419,0.829059829059829,0.8525641025641025,0.8324786324786324,0.8564102564102566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.04049145299145299,0.004074484967226089,0.0405982905982906,0.038461538461538464,0.0438034188034188,0.03803418803418803,0.042844551282051266,81.02656250000001,0.28160089992804815,81.05281250000002,80.90906250000002,81.18046874999999,80.85085000000002,81.18607500000002,6.634129619617886,0.01827109873169477,6.638485605226602,6.626381877692058,6.640246399925088,6.623117369730698,6.645205337946302,0.595944507769309,0.004723989219251909,0.5956169191049412,0.592781170096714,0.5982207703054883,0.5932462365366519,0.5987872682925082,0.0876190476190476,0.2570370152543877,0.00952380952380949,0.0023809523809523725,0.00952380952380949,0.003809523809523796,0.25047619047619046
ChaCha20,300.0,10,0.00747863247863248,0.003063506149231705,0.008547008547008548,0.006677350427350427,0.009615384615384616,0.005662393162393162,0.009188034188034188,7.0,2.8674417556808756,8.0,6.25,9.0,5.1,8.6,0.941025641025641,0.023648439851221763,0.9316239316239316,0.9230769230769231,0.9465811965811965,0.9290384615384616,0.9564102564102563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.013034188034188035,0.0028843955457715934,0.01282051282051282,0.011752136752136752,0.014957264957264958,0.011324786324786324,0.014743589743589742,81.71781250000001,0.2015050251820251,81.75781249999999,81.64359375000002,81.78078125000003,81.59465781249999,81.8320703125,6.699764034369781,0.012107151049276182,6.699613791662002,6.692622339606945,6.703279459941843,6.692919220274707,6.706924347483118,0.5977422575931997,0.0047808315610188504,0.5979911590693519,0.5939354046713561,0.6013934953371063,0.5950070707476698,0.600468166595674,0.38,0.4910168079291525,0.0,0.0,0.9214285714285715,0.09238095238095238,0.6676190476190477
ChaCha20,600.0,10,0.05181623931623932,0.002530746154478612,0.05181623931623931,0.050213675213675216,0.0531517094017094,0.05042735042735043,0.05331196581196581,48.5,2.3687784005919825,48.5,47.0,49.75,47.2,49.9,0.6128205128205128,0.021716055840637613,0.6111111111111112,0.6068376068376069,0.6239316239316239,0.6,0.6256410256410257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.08141025641025641,0.004955135934736776,0.08226495726495726,0.07932692307692307,0.08333333333333333,0.07852564102564102,0.08429754273504272,86.81131249999996,0.28195705106599855,86.86593749999994,86.69765624999997,87.05624999999999,86.63899687499998,86.97256874999995,6.97640725518149,0.01748565906053042,6.9800589145283265,6.965631796897107,6.991794491799259,6.966377935180607,6.986373252856517,0.5956201949389651,0.005005999002521056,0.5944952735444531,0.5929807195207104,0.5987421761383303,0.5929129445215221,0.5986083529668395,0.004761904761904756,0.00673435029701474,0.0,0.0,0.00952380952380949,0.000952380952380949,0.008571428571428574
ChaCha20,900.0,10,0.04348290598290598,0.0026673765400390325,0.0438034188034188,0.04193376068376068,0.04487179487179487,0.041880341880341884,0.04497863247863248,40.7,2.496664441476534,41.0,39.25,42.0,39.2,42.2,0.6752136752136753,0.02483703101732576,0.670940170940171,0.6602564102564102,0.6987179487179487,0.6606837606837608,0.6897435897435897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.0969017094017094,0.003023921611873758,0.09775641025641026,0.09642094017094018,0.09829059829059829,0.09497863247863247,0.0985042735042735,89.56506249999998,0.17881881202693217,89.54374999999996,89.40812499999996,89.69624999999998,89.46187187499997,89.66878125,7.134504287898454,0.011543745201932052,7.134063732299194,7.124713333785694,7.141655418746439,7.12772631133825,7.141357329382642,0.5948036796180531,0.0053707052641762945,0.5936217040289193,0.5928906763438135,0.5969824123894796,0.5918672873312607,0.5981955799856223,0.002857142857142847,0.004600437062282346,0.0,0.0,0.0071428571428571175,0.000952380952380949,0.005714285714285694
ChaCha20,1200.0,10,0.0297008547008547,0.0020642986817933683,0.03044871794871795,0.027777777777777776,0.030982905982905984,0.028525641025641025,0.030982905982905984,27.8,1.9321835661585915,28.5,26.0,29.0,26.7,28.9,0.7769230769230768,0.013024648946623927,0.7735042735042734,0.7692307692307692,0.7863247863247863,0.7692307692307692,0.7846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2775327998628892,0.08002136752136753,0.002386305636431762,0.08012820512820513,0.07905982905982906,0.08012820512820513,0.07873931623931622,0.08151709401709403,89.94649999999999,0.27234262147564875,89.94437499999998,89.70531249999998,90.18906249999998,89.79168437499997,90.10771249999998,7.165203994991449,0.01640217546594253,7.164533609777081,7.150003392953048,7.175631276944655,7.155769871490959,7.174833969581151,0.6027481766650453,0.005156072342578403,0.6038734944304451,0.5997488910215907,0.6067657701205462,0.5995631781138945,0.6056471824314212,0.001904761904761898,0.0040155906795788805,0.0,0.0,0.0,0.0,0.004761904761904745
