algorithm,experiment,condition,trial,network_seed,parameter_source,noise_type,noise_rate_hz,teacher_weight,ciphertext_bytes,simulation_wall_s,decoder_tie_fraction,victor_purpura_mean,van_rossum_mean,bit_errors,ber,ciphertext_byte_accuracy,exact_ciphertext_recovery,decryption_success,exact_plaintext_recovery,plaintext_byte_accuracy,noise_seed
S-DES,teaching_ablation,es_stdp_teacher_off,0,183685252,ES+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5356733161024749,0.009523809523809525,72.776875,6.27174830972064,5,0.005952380952380952,0.9523809523809523,False,True,False,0.9523809523809523,1148395644
S-DES,teaching_ablation,es_static_teacher_off,0,183685252,ES static,poisson_excitatory,10.0,1200.0,105,0.5279282790143043,0.005952380952380952,66.39562500000001,5.9226144925932065,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,1148395644
S-DES,teaching_ablation,default_stdp_teacher_off,0,183685252,default+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5319659560918808,0.0761904761904762,75.50187500000006,6.643074979872495,51,0.060714285714285714,0.6095238095238096,False,True,False,0.6095238095238096,1148395644
S-DES,teaching_ablation,teacher_assisted_then_off,0,183685252,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5343445108737797,0.036904761904761905,82.61000000000001,6.8605512595899985,21,0.025,0.8,False,True,False,0.8,1148395644
S-DES,teaching_ablation,teacher_only,0,183685252,Teaching-only shortcut,poisson_excitatory,10.0,1200.0,105,1.019183789845556,0.0,51.36437500000004,5.542983517382245,0,0.0,1.0,True,True,True,1.0,1148395644
S-DES,teaching_ablation,full_network,0,183685252,ES+teacher full network,poisson_excitatory,10.0,1200.0,105,1.0228553130291402,0.0,130.34187499999996,10.805169173972052,0,0.0,1.0,True,True,True,1.0,1148395644
S-DES,teaching_ablation,es_stdp_teacher_off,1,2113265914,ES+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5349668110720813,0.010714285714285714,71.84437499999999,6.221803789828225,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,1643688073
S-DES,teaching_ablation,es_static_teacher_off,1,2113265914,ES static,poisson_excitatory,10.0,1200.0,105,0.5361168100498617,0.005952380952380952,64.72562500000001,5.841131445563463,3,0.0035714285714285713,0.9714285714285714,False,True,False,0.9714285714285714,1643688073
S-DES,teaching_ablation,default_stdp_teacher_off,1,2113265914,default+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5290529681369662,0.07023809523809524,75.33875000000003,6.634858740825068,50,0.05952380952380952,0.638095238095238,False,True,False,0.638095238095238,1643688073
S-DES,teaching_ablation,teacher_assisted_then_off,1,2113265914,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5322683108970523,0.036904761904761905,81.41062499999997,6.778811753584373,20,0.023809523809523808,0.8285714285714285,False,True,False,0.8285714285714285,1643688073
